Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Benin,BEN,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9280000:TOTAL CONSUMPTION,9280000,191.994094848633,..,..,..,192.09455871582,..,..
Benin,BEN,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,122.779884338379,..,..,..,72.5944061279297,..,..
Bermuda,BMU,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,1.15822851657867,..,..,..,1.26539814472198,..,..
Bermuda,BMU,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,1.53151321411133,1.52858018875122,1.46984958648682,1.39573204517365,1.33665180206299,..,..
Bermuda,BMU,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,1.31127285957336,..,..,..,1.21123611927032,..,..
Bermuda,BMU,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9280000:TOTAL CONSUMPTION,9280000,1.48497998714447,..,..,..,1.29157626628876,..,..
Bermuda,BMU,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,1.78409624099731,..,..,..,1.28688168525696,..,..
Bhutan,BTN,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,33.075122833252,..,..,..,38.545467376709,..,..
Bhutan,BTN,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,17.9163818359375,18.0972232818604,18.175350189209,18.1534538269043,18.6053447723389,..,..
Bhutan,BTN,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,7.12215089797974,..,..,..,7.70220041275024,..,..
